,Review,Date,day,month,year
0,"Pros:    Awesome display.    Outstanding Camera.    Excellent performance, no lag at all.    Really fast charging.    Great gaming experience with Samsung Game Launcher.    Great customized android experience given by Samsung as usual.    Cons:    Only issue is, phone gets hot earlier than normal, but its becoz of its default setting.    It will go away with three simple steps:    1. Go to Settings -&gt; Smart Manager -&gt; Battery -&gt; App power saver -&gt; Details -&gt; Put the apps into 'Always power saver' mood which you don't want to run in background.    2. Go to Settings -&gt; Smart Manager -&gt; Battery -&gt; Battery Usage -&gt; More -&gt; Optimize battery usage -&gt; Tap it to 'All Apps' .    3. Go to Settings -&gt; Smart Manager -&gt; Battery -&gt; Turn off fast cable charging. Fast cable charging gets the phone really hot, its not good for device, Use fast cable charging only when you really need it. Standard charging also charge it in good time.       READ MORE    ", 12 Apr 2016,12,Apr, 2016
1,"Absolutely great phone, Samsung at its best, great reply to all the negative critics. This is the best phone right now!      Pros:    ++ Stunning display, 2560x1440 pixel, you have to see it to experience what an amazing display, clarity and color this phone has    ++ Fast, fast, fast, super smooth and fast, no lag at all so far. Multi tasking king. Open/close/play/use apps really fast    ++ Charging, charges in 90 minutes even with its massive 3000 mAH battery!    ++ If Fast Charging enabled, charges in about 1 hour!    ++ Battery backup is very impressive, for my moderate usage I can easily get through  1.5 days.    ++ All the reviews talk knows about the camera, THE BEST and fast, no more explanation needed!! Low light or whatever, just click it!    ++ First time using fingerprint feature, very very impressed at the ease of unlocking the phone with just your fingerprint.    ++ 32 GB of space more than enough with memory card slot if you want more    ++ Very handy Always On Display feature: Shows clock, date, battery, message/call notification while the device is locked. Bye bye to unlocking phone just to see time.    ++ The Default Browser is simple, lightweight, feature-rich, smooth.    ++ Water-proof and dust resistant, can't ask for more, no more worries during rainy days.    ++ Dual Sim/Memory card, finally Samsung brings in these on its flagship phone.    ++ Overall a very beautifully crafted phone, the design looks simply gorgeous and perfect.       READ MORE    ", 21 Mar 2016,21,Mar, 2016
2,Timely delivery by Flipkart. Excellent product. Manufacturing date is September 2017. Flipkart rocks.       READ MORE    , 23 Sep 2017,23,Sep, 2017
3,Don't take it from flipkart they are making fool by showing no cost emi.    And you will end up with paying gst and many hidden cost       READ MORE    , 13 Oct 2017,13,Oct, 2017
4,DATE OF MFG.   SEPTEMBER 2017    ANDROID VER.    ANDROID N    SECURITY PATCH    AUGUST 2017    EXCELLENT DEVICE    NO HEATING ISSUES AS OF YET.       READ MORE    , 28 Sep 2017,28,Sep, 2017
5,"No doubt s7 looks gorgeous piece of tech, it's beauty and the beast, but there is always a fatal flaw and this one's is these      Over Heating problem    Poor battery life      Considering of returning it      Update: flipkart rejected my return request.      Not gonna buy anything from flipkart anymore       READ MORE    ", 27 Sep 2017,27,Sep, 2017
6,"A help for new buyer , what we see that if product is being sold at this much hefty discount, we look for negative feedback... Same way I did and bought it on diwali sale in morning and cancelled by evening after saw some distressed remarks, but all are not wrong and some are not true too (can say I took risk on second chance), Let me summarize      1. This is genuine Galaxy s7 and manufactured in sep 2017    2. operating software is Nougut and s7 eligible for Oreo update      3. When you start phone it heats up very fast and you start believing that you made mistake to buy but wait for sometime and let updates get completed all will be settled    4. change setting to Mid (in power saving mode) and phone will be cooled down      5. Camera as expected much better than fancied dual camera phones, software and usage make battery drain so depend on use      (This is based on one day's usage experience )      After a day use very happy, So be positive and buy it in case you get good deal and Thanks Flipkart for steal a deal like offer...       READ MORE    ", 28 Oct 2017,28,Oct, 2017
7,"My Review after the usage of 7 days      Pros:    1. Best Camera    2. Amazing Super Amoled Screen    3. Really Water Resistant Phone    4. Truly Fast Charging. Battery is full within 1hr    5. No Hanging / Lagging issues    6. No Heating Problem while playing Games    7. I Love Samsung Pay App. Works really well and love it as top banks credit / debit cards can be embedded virtually and works very if we touches swiping machine with mobile. No need  to carry our cards    8. Phone is having many useful sensors    9. Samsung Health works well with built in sensors to measure heart beat rate, blood glucose levels, step counter etc    10. Comes with Nougat 7.0(surprise as description says it's Marshmallow)    11. Light weight, easy for single hand operations, Looks Premium and lots and lots of built in features. Buy it and feel Premium    12. Bought at just 20k after exchange of my useless Yu phone.    13. Premium phone at 20k         Cons:    1. Battery and Battery only is the big constraint.  3000mah is not at all sufficient for this Beast. However, Thanks for Fast Charging technology and in built customizable battery saving modes    2. No dedicated Memory Card Slot    3. No grip for holding phone bcoz of it's glassy finish on all the sides      Reducing 1 star for just because of low capacity battery. Otherwise, I 'll offer 5 star       READ MORE    ", 8 Oct 2017,8,Oct, 2017
8,I ordered s7 from flipkart .    Recieved a seal broken product with hissing sound on reciever during call.    So i replaced the product. On recieving s7 on replacement the problem of hissing sound on reciever was present on this replaced product also. Flipkart is cheating with there customers. They are selling damaged products in the name of sell.    SALE MEANS SELLING DAMAGED PRODUCTS . I AM NEVER GONNA BUY AGAIN ON FLIPKART...       READ MORE    , 5 Oct 2017,5,Oct, 2017
9,Best deal for best phone       READ MORE    , 22 Sep 2017,22,Sep, 2017
10,Excellent deal Of gr8 mobile.The device is manufactured in September 2017 only with Nougat Update .So anyone giving negative feedbacks is fake.Flipkart is totally trustworthy       READ MORE    , 22 Sep 2017,22,Sep, 2017
11,Blazing fast delivery by Flipkart......kudos to you for this.............product came with latest software pre-installed......which was not the case when the phone was launched. Great product.       READ MORE    , 21 Sep 2017,21,Sep, 2017
12,Wow!!! I used iPhone 6 for 1 year now shifted to s7 feels like I am free from jail.       READ MORE    , 8 Nov 2017,8,Nov, 2017
13,Perfect phone though overpriced.       READ MORE    , 18 Sep 2016,18,Sep, 2016
14,"If you are looking to buy the best mobile of 2016 in non phablet category (&lt;5.5 inch) , buy galaxy s7. All of you know the specs, I am sharing my real world experience with galaxy s7.      Pros - 1. Display and design- it is breathtaking. This is the real beauty. It is amazing to hold, light weight, brilliant display. You cannot expect anything better. Super amoled display of Samsung is still the best display. QHD resolution is cherry on the cake. You will love it.    2. Camera- s7 has arguably the best camera of 2016.google pixel is also awesome. But considering we have to pay almost 14k extra on google pixel in India, I do not think it is worth it. So better go with s7. It has amazing camera performance in both artificial and low light conditions too. So unless you are a professional photographer, you will be amazed by the camera performance.    3. Processor and ram - As it has exynos 8890 processor and 4GB ram combination. So it performs really well. You will not feel any lag in day to day performance.    It can handle any game with ease.    4. Battery - Though it's battery is not as good as s7 edge. But it is still respectable in flagship category. Pixel, nexus6p, iphone7 all of them have inferior battery.    Screen on time when mobile data in on is around 270-300 mins.    It also supports fast charging when you can charge in 80mins. But even without fast charging , it gets charged in under 2hrs.    For medium users it will last 1 day. So do not expect anything miraculous. But Battery will not disappoint you.    5. Storage - out of 32GB, we get around 24GB free.    6. Fingerprint scanner works really well. It is as good as nexus 5x/6p .    7. Supports voLTE. I have used Jio sim , it works without any issue.    8. Call quality and network reception - I use airtel 4g as my primary sim. I have not faced any network issues.    9. IP68 certified.    10. NFC present.    11. S7 supports Wireless charging. iPhone 7, pixel does not support wireless charging.      Cons- 1.no support to daydream - I think this is the biggest con of s7 and s7 edge.    2. No USB type c .    2. Battery is above average in premium category but still not best like s7 edge. I do not feel the doze feature of android 6.0 performs like it should be. I have used nexus 5x and can vouch that doze feature performs better on nexus 5x than s7. The battery drop while non use is not upto my liking on s7.    3. Earphone provided is just OK.    4. Only 1 sim works on LTE at a time. Other gets to 2G mode automatically.    5. Multitasking on s7 is good. But not as great as those of iPhone 7 and pixel mobiles.    6. Hybrid sim.      Bottomline - if you are considering buying a flagship device with best value for money. S7 is the right choice.    I would advice to buy iphone 7 only if you prefer ios over android, otherwise iPhone is a waste of money compared to s7.    I would not advice to buy Google pixel as it is too costly in India. Certainly not a VFM.    I would also not advice to buy OP3(if you can afford s7), as it has no credible after sales support in India. camera, display, design, battery of s7 is better than those of OP3. Only advantage op3 has is its dash charging which charges op3 20mins faster than s7. But on the other hand you loose out on best camera, best display,25-30% longer battery life on s7, very reliable after sales support of samsung. So if budget is not a constraint , go for s7 instead of op3.    Both op3 and op3t are 5.5inch mobile. So s7 edge is their real competitor. Considering s7edge has even better battery apart from camera and display , so my suggestion would be to go for s7 edge , if you can afford it.      You can use s7 for next 2-3 yrs without any issues ( except daydream ) .    S7 is a great mobile and I hope the future S series would continue this trend.       READ MORE    ", 29 Oct 2017,29,Oct, 2017
15,Its a very good mobile. I love using it.    Contains all the features I required. Water resistant it is. Camera quality is good.       READ MORE    , 9 Aug 2017,9,Aug, 2017
16,Great deal...    I hav ordered on 24th aug and received on 25th... realy fast delivery by flipkart....    And the seller also very good...i got well packed box..       READ MORE    , 26 Aug 2016,26,Aug, 2016
17,"Excellent design, feels very rich in hand ,    Great screen so smooth ....    Very fast no lag at alllll    Good battery backup    Camera in low light is awesome    Expandable storage      Cons...    As it is so smooth it slips from hand or pocket easily    Misses features like air view, IR blaster    Overall a best phone this year....       READ MORE    ", 24 Jul 2016,24,Jul, 2016
18,"I bought on 24th sep. sale @29990 .Everything is good about this phone but AVOID this phone .    WHY ??      1.  The phone never heated on marshmellow , the phone shipped is latest manufactured and Nougat runs very warm . It heats up on mere youtubing .      2. Flipkart customer care that is here to outwit the customer .  on replacement request , a technician visited my premises and  after 15 min vigourous usage the battery temp. went to 57 degree.  He took a picture of the same on cpu z app and in the next half hour my replacement request was automatically rejected .    3. finally i took the course of service centre and they changed the faulty motherboard and now the battery temp i have found max to 40 degree. Service guys were excellent to replace and deliver me 48 hours .Still what should had been a replacement ,i am stuck with a repaired set .       READ MORE    ", 5 Oct 2017,5,Oct, 2017
19,East or West filpcart is best       READ MORE    , 27 Oct 2017,27,Oct, 2017
20,Amazing phone with excellent camera.. loved it       READ MORE    , 2 Jun 2017,2,Jun, 2017
21,"Purchased new galaxy s7 through flipkart, it's amazing phone I ever had. Camera, performance, smoothness etc. everything is awesome.       READ MORE    ", 4 Mar 2017,4,Mar, 2017
22,i use this mobile since  3 days.... good but main problem is when using net after 5 mints it was soooo hot..... and battery was drag quickly......       READ MORE    , 29 Sep 2017,29,Sep, 2017
23,".Hi Team,      This product is not working properly, Second day only I gave the complaint, Battery is not working properly and Touch is not working properly, but still you did not take any response for this issue, please clear this issue quickly.      Thank you       READ MORE    ", 1 Oct 2017,1,Oct, 2017
24,"Rethink what a phone can do!!!I must say one of best camera centric phone for 2017 also.S7 is truly a flagship and leaves even i phone 7 to dust.If you are phone lover and wants a phone that have nearly every features up to the mark then end your search here.No lag,Excellent Camera,Ram managment is fabulous,quad hd display and feels so premium and comfortable in hands.Samsung love u for this.A perfect phone indeed!!!       READ MORE    ", 26 Oct 2017,26,Oct, 2017
25,"Friends chill      I am not a paid unscrupulous review writer.    Don't buy this phone.    Used the mobile for one week.    Just install CPU-Z in your mobile.    Keep the video on for 5 minutes.    See the magic, CPU Z app battery 41 to 44 degrees centigrade.    Heats very fast.    It is hybrid slot, Flipkart is hiding the details in one colour.    No assertive touch.    Touch will not work as expected.    You have to press the home button and again touch. Screen shot cannot be taken from a drop-down menu. You have to hard press the power button and home button.    Spoke to the technical team of Samsung. They told that this is a default feature. It's available only from on7.    I asked for refund, Flipkart gave me replacement.    Apart from these, this is amazing mobile.      Pros    Excellent processor no lags. Installed roughly 80 apps.    Amazing camera quality.    Quick Charge really amazing full Charge in 75 minutes.    Handy mobile.    Online realtime Samsung technical team support.      Not worth spending this much on this Mobile. Other better mobiles are there in the market. Samsung is doing a clearance sale. Flipkart is supporting with offers.      Go for Honor 8 Pro, 29999/- (6GB 128GB)    Huawei is on of the best brands in the world, but not in India.       READ MORE    ", 14 Oct 2017,14,Oct, 2017
26,Selling old model phones at high cost..its nothing but cheating       READ MORE    , 5 May 2017,5,May, 2017
27,"if camera is what matters to you Don't go for iPhone 7, instead get this best. I got it for 18.7k in the mobile loot sale here on Flipkart. I keep admiring the design even after weeks of usage, lovely Flagship design. this phone takes Low light photography to another level and you can further better the result by switching to pro mode and adjusting the ISO by yourself. decent battery, fantastic Super Amolead screen, great audio quality in earphones and just the perfect screen size for one hand operation makes this the perfect buy. I am writing this review after 2 weeks of usage, will update after 6 months once again. hope this helps.       READ MORE    ", 10 Nov 2017,10,Nov, 2017
28,Packaging was good. Product is Amazing. Delivery was on time. Thanka Flipkart for the superb offer :)       READ MORE    , 23 Sep 2017,23,Sep, 2017
29,The best smartphone out there!!! Nothing beats Samsung S7 ... The camera is just the best and waterproof body helps a lot!!       READ MORE    , 27 Nov 2016,27,Nov, 2016
30,Awesome       READ MORE    , 15 Oct 2016,15,Oct, 2016
31,Best smartphone I had ever get...... Full pesa wasul phone.....liked that product       READ MORE    , 22 Sep 2017,22,Sep, 2017
32,The best NON STOCK ANDROID. ... period.       READ MORE    , 11 Dec 2016,11,Dec, 2016
33,Superb phone..brought the phone during big billion day for 22k..Flipkart delivery is super awesome..they delivered the phone in just 12hours..Will write a review on the phone performance after using it for few months       READ MORE    , 22 Sep 2017,22,Sep, 2017
34,"The order delivery was too good. The product is also very good and i found it the cheapest compared to all other websites. And actually I prefer Flipkart only due to the service they give to us. The quality we see here on the app is the quality we get in our hands. It feels so good shopping here. Some people say ""Apni Dukaan"" to other apps but my ""Apni Dukaan"" is Flipkart only. Thanks Flipkart for such a great service and products.       READ MORE    ", 23 Sep 2017,23,Sep, 2017
35,"DxOMark has confirmed S7 as the top mobile camera. It scored 88/100.    Camera is especially relevant for video, because of super fast auto-focus      In my initial impressions, the package is same as S6 with better Battery and Water proofing. This makes S6 a good phone to buy now, I'd recommend to buy S6 rather than S7, or wait another year for S8.      I wasn't comfortable forking out full retail price, so Galaxy Gear VR headset better be worth the trouble.      Cons - No USB-C, Would be expensive to repair (I am still looking for buying insurance for the phone). Significantly poor resale value when compared to iPhone's. However 16Gb iPhone doesn't make any sense, and 64GB is costlier.      Pros - Camera, Camera and Camera (marginally better shooter than iPhone 6S)       READ MORE    ", 19 Mar 2016,19,Mar, 2016
36,"This phone was purchased during second day of Big Billion Day 2017. This is just an intial Review based on the unboxing expereince, where I found something strange which forced me to think If I have really received a new product and NOT reboxed / refurbished product.      Box was packed well, on opening the top cover of the mobile box, the factory screen cover was not places properly and atleast 5% of the screen guard was off the screen, but what suprised me more was ..there were atleast three DUST particles inside the screen guard/cover that too somewhere in the midst of the screen.      Now I am wondering if the packing at Samsung is a manual process that too not even in dustless environment, or is it like that phone has been reboxed / refurbished at some Indian center (Phone is Maf in India bdw).       READ MORE    ", 22 Sep 2017,22,Sep, 2017
37,For those who are waiting for their free VR      Install my galaxy app.    Register with same mobile no.    You will see under deals that you can claim ur VR after 5th april 2016       READ MORE    , 23 Mar 2016,23,Mar, 2016
38,"I purchased this product on the 21st of September'2017 and had it delivered on the 23rd. It has been approximately 10 days since I started using the phone. Here is my list of pros and cons based on real usage so far -      Pros -      1. Look &amp; feel - Amazing and premium. The moment you handle the phone you know it's a top of the line product. Fits well in your hand though you have to be careful as the shiny metallic exterior tends to slip out. I still cannot get over how beautiful the device looks even after 10 odd days and the looks are likely the first thing anyone will notice about the phone.      2. Display - Stunning. Really, no other word needed. AMOLED  looks equally stunning even when the resolution is reduced from Quad HD to FHD. Stunning indeed!      3. Performance - So far so good, have tested out a few graphics intensive games. No lags so far. Handles multiple apps with ease and NO significant heating even on heavy usage. There might be a few more devices with better gaming abilities(Google Pixel et al), but I have had no complaints.      4. Camera - Oh boy! Where do we start?! It has been a revelation. The camera is easily the centrepiece of this masterful device. Crisp, clear pictures with amazing details snapped with a super fast camera app. Packed with nifty features too. However, the single greatest aspect has to be the low light photography capability of this device. I remember clicking pictures inside the dingy dark rooms of an old fort only to discover details that my eyes had missed inside those dark rooms. The camera alone is worth all the hype that this device has garnered.      5. Battery - With several modes and battery saving options, the battery life can be modified as per your choice and usage. Overall, nothing revolutionary but a fully charged phone coasts through the day with moderate usage and being constantly connected to a wifi network. Decent, above average performance. Oh and honestly fast charging does not heat up the device as much as in case of some other devices.      6. Misc - Everything else is quite well done as you would expect from a flagship device. The Samsung touchwiz is packed with some useful &amp; some not so useful features. It does take up more space than stock android but nothing that hampers the storage capability of the device to a great extent. Haven't really tested out the water resistant feature but likely to work well too. The fingerprint sensor works in a snap and all other sensors work quite efficiently too.      Cons -      1. Headphones - The biggest letdown. Really, really disappointed. I have a pair of Sony headphones which make up for the lack of decent headphones. Should have received a better set with such a premium product.      2. Speakers - Clear enough but single bottom mounted speakers don't really create the magic and the sound often gets muffled out while the device is held.      Overall, a truly magnificent device that is also a complete value for its price especially since I got it at 24K (30k with Flipkart discount and 6k as exchange discount) &amp; I could not have asked for anything better. Even with the advent of the mesmerizing S8 and the Note 8, this still remains a great product to purchase.       READ MORE    ", 3 Oct 2017,3,Oct, 2017
39,"Pro's:    Product was good and original.    It was a greatest deal I found in big billion day offers.      Con's:    Delivery was delayed.    I bought this mobile through ICICI Credit card with no cost EMI    While I bought, flipkart summary shows no cost EMI and I received a no cost EMI offer.    Once the 10 days return policy ends, the same summary of my order details shows payment through credit card.    I don't know how the status of my payment changed.    Now when I check my credit card, it shows EMI with interest.    I was worried about this and I never expect this from Flipkart.      Advice:    Please don't buy the products through credit card with No cost EMI.       READ MORE    ", 7 Oct 2017,7,Oct, 2017
40,Bad product heated up so much and battery life in general is awful.       READ MORE    , 2 Oct 2017,2,Oct, 2017
41,What a phone!!       READ MORE    , 22 Mar 2016,22,Mar, 2016
42,"Heating issue, touch not working properly, battery issue...       READ MORE    ", 26 Sep 2017,26,Sep, 2017
43,HAVE RECEIVED THE PRODUCT WHICH WAS HAVING A DAMAGED SIM SLOT       READ MORE    , 2 Dec 2016,2,Dec, 2016
44,"After a year of launch it still  holds the ground against all the competitors. Slick design. Perfect size of around 5 inch screen for ease of handling. No useless curved screen. Been using s 7 edge whose curved screen part was a total waste. No matter how u r gonna hold,  curved screen part will be highly reflective and u can't type around curved edges. So not opted for s 8 also. In my opinion a FLAT AMOLED SCREEN OF 5 INCHES IS BEST IN MOBILE WORLD. obviously s7 rocks. No need tell about its fast focus low light camera superb performance, software etc. It's provided with nougat and Android oreo is on the way. Thanks flipkart for really ground breaking discount and exchange offer along with SBI card Cash back. Thanks again.    Update : keep the phone in mid power saving mode to increase battery life. Use single sim or switch off one sim whenever necessary and see the battery life. No heating issue after update.       READ MORE    ", 24 Sep 2017,24,Sep, 2017
45,"First of all, I want to give a humble thanks to Flipkart and the seller (TrueCom Retail) for delivering this gorgeous beauty in intact condition.      I have ordered the Black one on 25th Oct and got to touch the beauty on 26th Oct. Fast enough. :) :)      The device is fully functional, no issues are there, packaged nicely and most importantly packed on September 2017 by the manufacturer.      as this device has many negative reviews, I was bit worried about the delivery. but I ended up with a broad smile on my face.      Again, Thanks for this quality delivery Flipkart. I have bought 3 handsets from you guys and you never disappointed me.      Samsung Galaxy S7........ it's gorgeous like anything...       READ MORE    ", 27 Oct 2017,27,Oct, 2017
46,"Got my phone from the bbd flipkart. And it feels nice to have such a good device in your hand. Ergonomically the phone feels good to handle. Now lets see some pros and cons    Pros:    1- The phone is sturdy, good to handle.    2- Battery performance is good considering light usage.    3- The display is already a wonder having a quad HD amoled display. The always on display feature looks amazing.    4- Camera is almost compareble to the iPhone. Low light photography is way too good. Slow motion s good. Many more features there in the camera app.      Cons:    The only con which i noticed till now was that fingerprints accumulate  too much on the back panel.      Overall a great phone to have in such a price. Never gets better than this.      Happy.       READ MORE    ", 26 Sep 2017,26,Sep, 2017
47,"one of the best ph by samsung,sunday delivered by flipkart i.e within 48 hrs ,great deal @20k ,ph recieved in perfect sealed box without any damage       READ MORE    ", 25 Sep 2017,25,Sep, 2017
48,Rated 5/5       READ MORE    , 19 Dec 2016,19,Dec, 2016
49,I was really confused between honor 8 pro and s7. I finally chose s7 and it's the best deal of my life. It's qhd super amoled display is the best thing which can even beat iPhone. Colors are unbelievable and clarity is superb. Camera and video recording is excellent. Processing speed is also fantastic. No heating or any other issue. This is the true flagship phone at killer price. I hope to use it for many years to come. Thanks  Flipkart.       READ MORE    , 18 Oct 2017,18,Oct, 2017
50,Don't miss the big billion offer.      Bought this beast on the BB day on flipkart for Rs 28390 without any exchange. The best price  ever you could get anywhere.      The phone is exynos processor and dual sim version and more importantly no gimmicks all original and genuine product (had a lot of hesitation before buying).    About the phone there are thousand of review so I am not gonna tell anything.    Yes don't miss the offer. Once again don't miss it.       READ MORE    , 24 Sep 2017,24,Sep, 2017
51,Heater for winter       READ MORE    , 14 Oct 2017,14,Oct, 2017
52,Mobile received in very good condition. Packing was good. The delivery boy who came to collect the exchange mobile was a bit rude. Otherwise 5 stars.    They promised to deliver on Saturday but delivered on Friday itself. Good service levels. But this did not give us enough time to check and backup our phone.       READ MORE    , 22 Sep 2017,22,Sep, 2017
53,"Honestly speaking, I used to use Samsung before 2 years then shifted to xiaomi phones as it was the growing trend.      But, xiaomi phones stand nowhere in comparison to Samsung S series.      Samsung S series phones are of top notch quality compared to its other series.      I read lots of reviews before buying this phone and I was totally correct in making the purchase.      Display quality - 10/10      Sound quality - 9/10      Processing - 9/10      Battery - 7/10      Sturdiness - 10/10      Without asking much, simply go for it.      Thank you Flipkart for which a wonderful deal because of which I got this awesome masterpiece.    Delivery was also good before time.       READ MORE    ", 8 Nov 2017,8,Nov, 2017
54,"4 star only, i think handfree not feet in ear properly. Improve handfree design in next generation phones.       READ MORE    ", 7 Nov 2017,7,Nov, 2017
55,Nice one       READ MORE    , 6 Nov 2017,6,Nov, 2017
56,"No heating, battery run long at power saving mode, real fast charging , other all features show why it is no. 1 in year 2016       READ MORE    ", 6 Nov 2017,6,Nov, 2017
57,Its a nice phone i am using it scince last 4 days with awesome display and performance but battery backup is not so good. Overall its a good deal for me in 18k with exchange offer anf hdfc credit card offer...       READ MORE    , 2 Nov 2017,2,Nov, 2017
58,"Pros:      Camera super awesome    got it at 21k, can u believe that? There is a flipkart buyback offer too.    Amazing display    fluid &amp; optimized    App sleeping options available which is good for heavy users    No heating at all.      Cons:      Press to Finger unlock    The battery is not so great. but works for a typical working day      Overall beats all phones below 40k considering the brand value and super duper camera.. buy it if you get it below 30k eyes closed...       READ MORE    ", 2 Nov 2017,2,Nov, 2017
59,Over heating    Bad picture quality (SAMSUNG ISOCELL sensor)    Poor battery life       READ MORE    , 31 Oct 2017,31,Oct, 2017
60,Great mobile for this price.. I got this mobile for 17000 by exchanging my old mobile... Everyone knows the pros of this mobile.. thanks Flipkart for this amazing discounts...       READ MORE    , 28 Oct 2017,28,Oct, 2017
61,Ordered the product on 25 oct and the item was delivered on 26 oct. excellent and safe packaging. The services of courier boy was excellent. Regarding the handset the product was received in a sealed pack. Good work by team flipkart.       READ MORE    , 27 Oct 2017,27,Oct, 2017
62,"Overall OK but there is a problem in back key .Not work properly., and it will go restarting again and again       READ MORE    ", 24 Oct 2017,24,Oct, 2017
63,"Excellent phone but i think i have not chosen the right color, Silver would have been a better choice against Onyx black because in black it looks like any other model .       READ MORE    ", 19 Oct 2017,19,Oct, 2017
64,Great phone. Great camera. Only difficulty is to get screen protector for S7       READ MORE    , 15 Oct 2017,15,Oct, 2017
65,"Good camera , Speed , Handy phone but unable to get tempered glass       READ MORE    ", 15 Oct 2017,15,Oct, 2017
66,Awesome phone which is topped with exceptional deal from Flipkart!!      Camera quality undoubtedly is really great. Also 32GB internal memory though looks bit low but is more than sufficient to install lot of apps and store lot of data.       READ MORE    , 15 Oct 2017,15,Oct, 2017
67,"Phone is next level.. Even after an year, it has better camera than most of other phones.. lovin it!!       READ MORE    ", 15 Oct 2017,15,Oct, 2017
68,"Simply Awesome phone and awesome performance, best phone by Samsung till date       READ MORE    ", 7 Oct 2017,7,Oct, 2017
69,I am using it from last 7 days...awesome phone.great screen..smooth performance..best camera specially  in low light conditions just awesome       READ MORE    , 4 Oct 2017,4,Oct, 2017
70,One of the worst fingerprint scanner..selfie camera is also not as good as rear camera...       READ MORE    , 28 Sep 2017,28,Sep, 2017
71,"Unlike most Android phones that are massive these days and difficult to handle with one hand, the Galaxy S7 is a great option.      - One of the best displays on the market as it's a 2K AMOLED screen but spread over 5.1 inches only (Higher PPI than even the Galaxy S8 and Note 8)    - Excellent build quality although a bit fragile (It's the same with all phones with a glass back)    - One of the best cameras on the market and a more than decent front cam    - Has an SD card which most other OEM flagships are getting rid of    - IP68 water resistant rating (iPhone 8 and X is IP67 only)    -  Samsung's touchwiz is a lot cleaner on this phone    (I got the phone with Nougat out of the box and it has the new Grace UI which gets rid of the old cartoonish UI of Samsung for a more modern and clean look)    - Samsung Pay which is excellent for payments (Also works with magnetic card readers which don't support NFC)    - Finger print scanner in the proper place it belongs where it's easily reachable and is useful (Unlike GS8 and Note 8)      I purchased it during the Big Billion Day Sale period and got a great offer. The package arrived a day before the expected delivery date and was neatly packed. The box was in mint condition and had zero damage. Excellent delivery by Flipkart.       READ MORE    ", 27 Sep 2017,27,Sep, 2017
